% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
119.99999999999999,70000,-112.4890844962453
121,10000,-102.86640028939205
121,30000,-111.12686839744777
121,50000,-114.25964339577138
121,70000,-112.45176585590322
122,10000,-102.85727246954828
122,30000,-111.13911259255963
122,50000,-114.19873659010315
122,70000,-112.4127332671126
123.00000000000001,10000,-102.84734153780121
123.00000000000001,30000,-111.15272644926142
123.00000000000001,50000,-114.13280314679106
123.00000000000001,70000,-112.37189137317029
124,10000,-102.83662024622578
124,30000,-111.16773969589468
124,50000,-114.06172832430796
124,70000,-112.32906794315768
125.00000000000001,10000,-102.82512240413077
125.00000000000001,30000,-111.1841725875571
125.00000000000001,50000,-113.9854430362613
125.00000000000001,70000,-112.28400195254272
126,10000,-102.81286285739442
126,30000,-111.20203431775558
126,50000,-113.90393000094417
126,70000,-112.2363318571223
127.00000000000001,10000,-102.79985746605487
127.00000000000001,30000,-111.22132127538876
127.00000000000001,50000,-113.81722862251819
127.00000000000001,70000,-112.18558482404711
128,10000,-102.78612308020587
128,30000,-111.24201514417797
128,50000,-113.72543836068337
128,70000,-112.13116792085172
129,10000,-102.77167751424373
129,30000,-111.26408084408999
129,50000,-113.62872039353852
129,70000,-112.07236251406653
130,10000,-102.7565395195322
130,30000,-111.28746431808179
130,50000,-113.52729744169741
130,70000,-112.00832336364033
131,10000,-102.7407287555655
131,30000,-111.3120901719614
131,50000,-113.42145169170979
131,70000,-111.93808406602056
132,10000,-102.72426575967765
132,30000,-111.33785918242765
132,50000,-113.31152083214266
132,70000,-111.86057055795784
133,10000,-102.70717191538117
133,30000,-111.36464569559413
133,50000,-113.19789228542673
133,70000,-111.77462424570216
134,10000,-102.68946941942458
134,30000,-111.39229494933323
134,50000,-113.08099578112463
134,70000,-111.67903591538276
135,10000,-102.67118124762814
135,30000,-111.42062036504349
135,50000,-112.96129446314171
135,70000,-111.57259084071845
136,10000,-102.65233111958997
136,30000,-111.44940086963098
136,50000,-112.83927475353656
136,70000,-111.45412441713185
137,10000,-102.6329434623602
137,30000,-111.47837832611285
137,50000,-112.71543521044883
137,70000,-111.32258628182788
138,10000,-102.6130433731507
138,30000,-111.5072551715964
138,50000,-112.59027460978997
138,70000,-111.17710937656776
139,10000,-102.59265658117634
139,30000,-111.53569238333966
139,50000,-112.46427946714384
139,70000,-111.01707902553969
140,10000,-102.57180940872402
140,30000,-111.56330791698602
140,50000,-112.33791118401385
140,70000,-110.84219615634828
141,10000,-102.55052873153389
141,30000,-111.58967578468925
141,50000,-112.21159297620405
141,70000,-110.65252857482527
142,10000,-102.52884193858542
142,30000,-111.61432596208604
142,50000,-112.08569670754758
142,70000,-110.44854492241905
143,10000,-102.50677689136847
143,30000,-111.63674533018232
143,50000,-111.96052973505374
143,70000,-110.23112758038806
144,10000,-102.484361882754
144,30000,-111.65637986750781
144,50000,-111.8363218602478
144,70000,-110.00156311494797
145,10000,-102.46162559553494
145,30000,-111.672638305349
145,50000,-111.71321249493899
145,70000,-109.76151145779878
146,10000,-102.438597060718
146,30000,-111.68489744098491
146,50000,-111.59123818378742
146,70000,-109.5129573863035
147,10000,-102.4153056156812
147,30000,-111.69250926537225
147,50000,-111.47032069162867
147,70000,-109.25814958067102
148,10000,-102.39178086225573
148,30000,-111.6948100001755
148,50000,-111.35025595750726
148,70000,-108.99953333325954
149,10000,-102.36805262482677
149,30000,-111.69113105190972
149,50000,-111.23070434501847
149,70000,-108.73968285127178
150,10000,-102.34415090853743
150,30000,-111.6808117789467
150,50000,-111.11118277429227
150,70000,-108.48123820684373
151,10000,-102.3201058576561
151,30000,-111.66321383439688
151,50000,-110.99105949823253
151,70000,-108.2268506358006
152,10000,-102.29594771421178
152,30000,-111.63773670284633
152,50000,-110.86955246672473
152,70000,-107.97913839526365
153,10000,-102.27170677692895
153,30000,-111.60383390262388
153,50000,-110.74573238415887
153,70000,-107.74065400775093
154,10000,-102.24741336058307
154,30000,-111.56102919595259
154,50000,-110.61853167110917
154,70000,-107.51386261335007
155,10000,-102.22309775578084
155,30000,-111.50893205226508
155,50000,-110.4867605411508
155,70000,-107.30113038554737
156,10000,-102.19879018929137
156,30000,-111.44725156412326
156,50000,-110.34913124677149
156,70000,-107.10472152450444
157,10000,-102.17452078492634
157,30000,-111.37580803309261
157,50000,-110.20429118150835
157,70000,-106.92680216682254
158,10000,-102.1503195250757
158,30000,-111.2945415315248
158,50000,-110.05086491184136
158,70000,-106.76944955837149
159,10000,-102.12621621290877
159,30000,-111.2035169029275
159,50000,-109.8875043520234
159,70000,-106.63466495073604
160,10000,-102.102240435325
160,30000,-111.10292487623278
160,50000,-109.71294524455627
160,70000,-106.52438882293072
161,10000,-102.07842152665805
161,30000,-110.99307921699759
161,50000,-109.5260669843735
161,70000,-106.44051713775772
162,10000,-102.0547885332199
162,30000,-110.87441009458954
162,50000,-109.32595182136023
162,70000,-106.38491736518458
163,10000,-102.03137017867462
163,30000,-110.74745408083338
163,50000,-109.11193880401429
163,70000,-106.35944287068929
164,10000,-102.00819483031094
164,30000,-110.61284138810207
164,50000,-108.88366770765313
164,70000,-106.36594391243456
165,10000,-101.98529046622741
165,30000,-110.47128108456118
165,50000,-108.6411087435624
165,70000,-106.4062727971728
166,10000,-101.96268464345059
166,30000,-110.32354508456305
166,50000,-108.38457507256078
166,70000,-106.48227954332718
167,10000,-101.94040446702579
167,30000,-110.17045170291789
167,50000,-108.11471688459343
167,70000,-106.59579242117638
168,10000,-101.91847656008528
168,30000,-110.01284949341118
168,50000,-107.8324977646267
168,70000,-106.74857455800304
169,10000,-101.89692703491808
169,30000,-109.85160197997854
169,50000,-107.53915589393635
169,70000,-106.94224275822367
170,10000,-101.87578146504785
170,30000,-109.68757375014738
170,50000,-107.23615402023101
170,70000,-107.17812683283279
171,10000,-101.85506485834209
171,30000,-109.52161823376954
171,50000,-106.9251228695004
171,70000,-107.45703575767345
172,10000,-101.834801631141
172,30000,-109.35456734777827
172,50000,-106.60780271996512
172,70000,-107.77887946520094
173,10000,-101.81501558343909
173,30000,-109.18722306340412
173,50000,-106.28598731533252
173,70000,-108.14207147876002
174,10000,-101.79572987508953
174,30000,-109.02035084972063
174,50000,-105.96147335068117
174,70000,-108.54261137251329
175,10000,-101.77696700305668
175,30000,-108.85467487064274
175,50000,-105.6360176494251
175,70000,-108.97273261648601
176,10000,-101.75874877971609
176,30000,-108.69087476111419
176,50000,-105.31130305597998
176,70000,-109.41904527883928
177,10000,-101.74109631216905
177,30000,-108.52958377793775
177,50000,-104.98891314606787
177,70000,-109.86030410930982
178,10000,-101.7240299826141
178,30000,-108.37138811018124
178,50000,-104.67031516593346
178,70000,-110.26545173626063
179,10000,-101.70756942972348
179,30000,-108.21682713637276
179,50000,-104.35685017572601
179,70000,-110.59351392987364
180,10000,-101.69173353104685
180,30000,-108.06639442912223
180,50000,-104.04972915536989
180,70000,-110.79780490971399
181,10000,-101.67654038641629
181,30000,-107.92053932648395
181,50000,-103.75003378883234
181,70000,-110.83614001501417
182,10000,-101.66200730235545
182,30000,-107.77966891249717
182,50000,-103.45872071893686
182,70000,-110.68461938173277
183,10000,-101.64815077746958
183,30000,-107.64415027245896
183,50000,-103.17662821068906
183,70000,-110.34724239188193
184,10000,-101.6349864888109
184,30000,-107.51431291205769
184,50000,-102.9044843387322
184,70000,-109.8542336290045
185,10000,-101.62252927920179
185,30000,-107.39045125056612
185,50000,-102.64291599589937
185,70000,-109.25040130567895
186,10000,-101.61079314551068
186,30000,-107.27282711779081
186,50000,-102.39245818819036
186,70000,-108.58173727598798
187,10000,-101.59979122786066
187,30000,-107.1616722011561
187,50000,-102.15356322794011
187,70000,-107.88682726344042
188,10000,-101.58953579974865
188,30000,-107.05719040301439
188,50000,-101.92660955754528
188,70000,-107.19406496295511
189,10000,-101.58003825907895
189,30000,-106.95956008075018
189,50000,-101.71191003258744
189,70000,-106.52247771756342
190,10000,-101.57130912007928
190,30000,-106.86893615089394
190,50000,-101.50971956573952
190,70000,-105.88387110502072
191,10000,-101.56335800609645
191,30000,-106.78545204641098
191,50000,-101.32024208754403
191,70000,-105.28499770585609
192.00000000000003,10000,-101.55619364324951
192.00000000000003,30000,-106.70922152199151
192.00000000000003,50000,-101.14363681810828
192.00000000000003,70000,-104.72928158002951
193,10000,-101.5498238549207
193,30000,-106.64034030644432
193,50000,-100.98002386999329
193,70000,-104.21804629413472
194,10000,-101.5442555570945
194,30000,-106.57888760471741
194,50000,-100.8294892185776
194,70000,-103.7513390289706
195,10000,-101.53949475449332
195,30000,-106.52492745394314
195,50000,-100.69208908696024
195,70000,-103.32846466631118
196,10000,-101.53554653753093
196,30000,-106.47850993972412
196,50000,-100.56785379538351
196,70000,-102.94832411782113
197,10000,-101.53241508004103
197,30000,-106.4396722796821
197,50000,-100.45679112797217
197,70000,-102.60962483676147
198,10000,-101.53010363779771
198,30000,-106.40843978142316
198,50000,-100.35888926684365
198,70000,-102.31100941351416
199,10000,-101.52861454778807
199,30000,-106.38482668274267
199,50000,-100.2741193422159
199,70000,-102.05113224949166
200,10000,-101.52794922823327
200,30000,-106.36883688105993
200,50000,-100.20243764227584
200,70000,-101.82870356729961
201.00000000000003,10000,-101.52810817936515
201.00000000000003,30000,-106.36046455932637
201.00000000000003,50000,-100.14378752410411
201.00000000000003,70000,-101.64251300523917
202,10000,-101.52909098491575
202,30000,-106.35969471471313
202,50000,-100.09810106117513
202,70000,-101.49144054322504
203,10000,-101.53089631433723
203,30000,-106.3665035961078
203,50000,-100.0653004603921
203,70000,-101.3744596379651
