Frequency_Hz,TargetStrength_dB_re_1m
9414.16416416417,-36.7546898529085
9504.20420420421,-36.7659554068732
9594.24424424425,-36.7760608557924
9684.28428428429,-36.7850639717184
9774.32432432433,-36.7930234727706
9864.36436436436,-36.7999987583501
9954.40440440441,-36.806049653781
10044.4444444444,-36.8112361657232
10134.4844844845,-36.8156182494734
10224.5245245245,-36.8192555890633
10314.5645645646,-36.8222073908511
10404.6046046046,-36.824532191107
10494.6446446446,-36.826287677905
10584.6846846847,-36.827530527466
10674.7247247247,-36.8283162549363
10764.7647647648,-36.8286990794525
10854.8048048048,-36.8287318032172
10944.8448448448,-36.8284657042058
11034.8848848849,-36.8279504420389
11124.9249249249,-36.8272339764771
11214.964964965,-36.8263624979437
11305.005005005,-36.8253803694308
11395.045045045,-36.8243300791203
11485.0850850851,-36.823252203027
11575.1251251251,-36.8221853769673
11665.1651651652,-36.8211662771537
11755.2052052052,-36.8202296087287
11845.2452452452,-36.819408101563
11935.2852852853,-36.8187325126674
12025.3253253253,-36.8182316345921
12115.3653653654,-36.8179323092165
12205.4054054054,-36.8178594463667
12295.4454454454,-36.8180360467291
12385.4854854855,-36.8184832285663
12475.5255255255,-36.8192202577768
12565.5655655656,-36.8202645808761
12655.6056056056,-36.8216318605119
12745.6456456456,-36.823336013163
12835.6856856857,-36.8253892487039
12925.7257257257,-36.82780211155
13015.7657657658,-36.830583523131
13105.8058058058,-36.833740825468
13195.8458458458,-36.837279825659
13285.8858858859,-36.8412048411021
13375.9259259259,-36.8455187453126
13465.965965966,-36.8502230142094
13556.006006006,-36.8553177727682
13646.046046046,-36.8608018419587
13736.0860860861,-36.8666727858963
13826.1261261261,-36.8729269591581
13916.1661661662,-36.8795595542228
14006.2062062062,-36.8865646490072
14096.2462462462,-36.8939352544814
14186.2862862863,-36.901663362354
14276.3263263263,-36.9097399928238
14366.3663663664,-36.9181552424015
14456.4064064064,-36.926898331808
14546.4464464464,-36.9359576539586
14636.4864864865,-36.9453208220452
14726.5265265265,-36.9549747177259
14816.5665665666,-36.9649055394349
14906.6066066066,-36.9750988508189
14996.6466466466,-36.985539629309
15086.6866866867,-36.9962123148272
15176.7267267267,-37.0071008586275
15266.7667667668,-37.0181887722635
15356.8068068068,-37.0294591766691
15446.8468468468,-37.0408948513331
15536.8868868869,-37.0524782835401
15626.9269269269,-37.0641917176442
15716.966966967,-37.0760172043349
15807.007007007,-37.0879366498428
15897.0470470471,-37.0999318650302
15987.0870870871,-37.1119846142995
16077.1271271271,-37.1240766642461
16167.1671671672,-37.1361898319733
16257.2072072072,-37.1483060329815
16347.2472472472,-37.1604073285345
16437.2872872873,-37.1724759723999
16527.3273273273,-37.1844944568537
16617.3673673674,-37.1964455578364
16707.4074074074,-37.2083123791385
16797.4474474475,-37.2200783954943
16887.4874874875,-37.2317274944558
16977.5275275275,-37.2432440169207
17067.5675675676,-37.2546127961823
17157.6076076076,-37.2658191953752
17247.6476476476,-37.2768491431876
17337.6876876877,-37.2876891677142
17427.7277277277,-37.298326428331
17517.7677677678,-37.3087487454717
17607.8078078078,-37.3189446281982
17697.8478478479,-37.3289032994596
17787.8878878879,-37.3386147189454
17877.9279279279,-37.3480696034469
17967.967967968,-37.3572594446503
18058.008008008,-37.3661765242971
18148.048048048,-37.3748139266599
18238.0880880881,-37.3831655482908
18328.1281281281,-37.3912261050178
18418.1681681682,-37.398991136173
18508.2082082082,-37.4064570060533
18598.2482482483,-37.4136209026279
18688.2882882883,-37.4204808335183
18778.3283283283,-37.4270356192933
18868.3683683684,-37.4332848841336
18958.4084084084,-37.4392290439333
19048.4484484485,-37.4448692919178
19138.4884884885,-37.450207581872
19228.5285285285,-37.4552466090803
19318.5685685686,-37.459989789093
19408.6086086086,-37.4644412344406
19498.6486486487,-37.4686057294294
19588.6886886887,-37.4724887031541
19678.7287287287,-37.4760962008747
19768.7687687688,-37.4794348539055
19858.8088088088,-37.4825118481706
19948.8488488489,-37.4853348915824
20038.8888888889,-37.4879121804001
20128.9289289289,-37.4902523647287
20218.968968969,-37.4923645133133
20309.009009009,-37.4942580777883
20399.0490490491,-37.495942856533
20489.0890890891,-37.4974289582841
20579.1291291291,-37.4987267656529
20669.1691691692,-37.499846898685
20759.2092092092,-37.5008001786009
